filename,label,score,xmin,ymin,xmax,ymax
test1.jpg,karies,0.9999989,542,222,588,260
test1.jpg,karies,0.99897325,688,209,741,244
test1.jpg,karies,0.9289074,608,217,664,258
test1.jpg,karies,0.6300653,385,225,429,268
test10.jpg,karies,0.9942637,236,229,275,263
test11.jpg,karies,0.9977957,231,95,248,110
test12.jpg,karies,0.9999949,342,137,368,155
test12.jpg,karies,0.9999883,110,146,131,165
test12.jpg,karies,0.9998461,204,144,229,170
test12.jpg,karies,0.9730576,164,156,187,175
test13.jpg,karies,0.9052689,288,204,336,252
test14.jpg,karies,0.99999213,479,255,533,306
test14.jpg,karies,0.99998415,264,268,322,314
test14.jpg,karies,0.92570007,613,80,666,118
test14.jpg,karies,0.18651064,540,230,615,307
test2.jpg,karies,0.9999995,570,187,673,282
test2.jpg,karies,0.6620719,306,179,399,311
test3.jpg,karies,0.9999629,1335,892,1836,1301
test4.jpg,karies,0.9999999,1010,74,1277,214
test4.jpg,karies,0.99999917,679,76,858,196
test4.jpg,karies,0.99973327,540,882,620,1017
test4.jpg,karies,0.99941003,1527,162,1713,419
test4.jpg,karies,0.9895315,935,216,1012,329
test4.jpg,karies,0.9297839,274,913,425,1075
test4.jpg,karies,0.21266589,1383,1072,1556,1222
test5.jpg,karies,0.99999917,704,344,786,414
test5.jpg,karies,0.9992142,271,356,309,393
test5.jpg,karies,0.99904865,406,280,521,336
test5.jpg,karies,0.9959253,361,353,448,410
test5.jpg,karies,0.96186817,248,381,350,481
test5.jpg,karies,0.78196836,934,249,983,297
test6.jpg,karies,0.99999714,488,399,539,477
test6.jpg,karies,0.9999573,714,377,762,422
test6.jpg,karies,0.9330593,558,360,657,425
test6.jpg,karies,0.2866987,559,361,627,406
test7.jpg,karies,0.9999988,288,126,339,165
test7.jpg,karies,0.99996805,483,184,543,262
test7.jpg,karies,0.9999566,151,107,264,192
test7.jpg,karies,0.9974847,346,148,427,251
test7.jpg,karies,0.9523708,7,24,126,126
test7.jpg,karies,0.4258263,606,190,707,291
test7.jpg,karies,0.22454575,106,5,174,79
test8.jpg,karies,0.9999999,353,132,405,182
test8.jpg,karies,0.99997735,427,142,459,185
test8.jpg,karies,0.99996376,194,135,273,180
test9.jpg,karies,0.9999976,401,242,447,282
