filename,label,score,xmin,ymin,xmax,ymax
test1.jpg,karies,0.20224138,939,48,984,99
test10.jpg,karies,0.2958987,243,234,278,271
test10.jpg,karies,0.24851665,152,254,190,288
test10.jpg,karies,0.15739901,230,284,281,324
test10.jpg,karies,0.11559634,164,261,211,291
test10.jpg,karies,0.10732506,173,266,223,304
test10.jpg,karies,0.10346276,189,270,233,307
test11.jpg,karies,0.63263166,108,136,123,151
test11.jpg,karies,0.3324707,111,138,124,154
test11.jpg,karies,0.27704948,291,230,311,250
test11.jpg,karies,0.24121605,199,133,214,151
test11.jpg,karies,0.23885585,196,138,209,155
test11.jpg,karies,0.18371318,170,225,192,242
test11.jpg,karies,0.17829137,197,134,210,150
test11.jpg,karies,0.17576179,136,226,159,242
test11.jpg,karies,0.15284069,32,99,54,117
test11.jpg,karies,0.14768763,27,232,43,247
test11.jpg,karies,0.12347089,43,208,66,220
test11.jpg,karies,0.116580054,105,134,121,149
test11.jpg,karies,0.110747725,61,140,78,156
test11.jpg,karies,0.10242248,23,224,35,241
test11.jpg,karies,0.101964794,163,226,185,241
test12.jpg,karies,0.25851843,342,134,369,153
test12.jpg,karies,0.21316217,84,171,116,198
test12.jpg,karies,0.13286906,437,25,457,52
test12.jpg,karies,0.12217558,438,16,462,41
test12.jpg,karies,0.10862703,445,25,465,51
test12.jpg,karies,0.104531005,370,161,405,183
test13.jpg,karies,0.66280097,252,150,292,197
test13.jpg,karies,0.2000799,260,149,290,180
test13.jpg,karies,0.10854912,378,162,403,192
test14.jpg,karies,0.58892137,493,254,530,301
test14.jpg,karies,0.21374112,491,246,527,288
test14.jpg,karies,0.1885946,639,218,697,264
test14.jpg,karies,0.17080197,274,288,316,319
test14.jpg,karies,0.12036586,751,216,786,261
test14.jpg,karies,0.106998704,756,198,788,246
test2.jpg,karies,0.4984335,486,76,542,161
test2.jpg,karies,0.26984823,731,77,759,122
test2.jpg,karies,0.24015026,331,193,402,258
test2.jpg,karies,0.21817143,730,94,759,141
test2.jpg,karies,0.18109252,730,60,758,101
test2.jpg,karies,0.13997114,592,213,675,284
test2.jpg,karies,0.122706264,355,258,408,300
test2.jpg,karies,0.11671715,714,60,743,100
test2.jpg,karies,0.11663356,318,174,388,249
test2.jpg,karies,0.10746202,714,78,744,121
test2.jpg,karies,0.10389246,554,198,615,259
test2.jpg,karies,0.10211045,496,92,537,145
test3.jpg,karies,0.76181126,2630,499,2886,815
test3.jpg,karies,0.51285064,2687,515,2959,796
test3.jpg,karies,0.40480632,464,1293,745,1541
test3.jpg,karies,0.34351704,2157,1931,2479,2201
test3.jpg,karies,0.22716758,2658,517,2793,705
test3.jpg,karies,0.19740343,2824,1822,3081,2122
test3.jpg,karies,0.1849886,378,1002,630,1297
test3.jpg,karies,0.15762086,3164,266,3375,432
test3.jpg,karies,0.15477039,2715,532,2869,693
test3.jpg,karies,0.1516786,2098,954,2500,1170
test3.jpg,karies,0.14495914,2092,1870,2391,2167
test4.jpg,karies,0.50810456,551,908,620,1020
test4.jpg,karies,0.33920085,1556,141,1638,216
test4.jpg,karies,0.29784304,924,99,1034,186
test4.jpg,karies,0.29177895,1476,233,1633,416
test4.jpg,karies,0.27373797,952,248,1013,351
test4.jpg,karies,0.27153677,1438,279,1602,419
test4.jpg,karies,0.26545668,534,955,609,1048
test4.jpg,karies,0.21831284,948,205,1014,322
test4.jpg,karies,0.159288,1403,292,1539,433
test4.jpg,karies,0.1555234,1340,1075,1495,1222
test4.jpg,karies,0.13027985,1293,95,1398,189
test4.jpg,karies,0.12110119,552,889,631,979
test4.jpg,karies,0.11158525,1279,124,1373,220
test5.jpg,karies,0.38529915,712,234,773,287
test5.jpg,karies,0.3118754,239,416,303,484
test5.jpg,karies,0.1803855,692,61,754,110
test5.jpg,karies,0.15897056,272,284,326,340
test5.jpg,karies,0.14360312,720,632,779,689
test5.jpg,karies,0.14030148,268,509,328,570
test5.jpg,karies,0.1376221,431,34,499,83
test5.jpg,karies,0.12409729,747,251,811,311
test5.jpg,karies,0.124073915,691,234,750,284
test5.jpg,karies,0.124027476,227,400,289,465
test5.jpg,karies,0.11163654,668,565,721,622
test5.jpg,karies,0.105611004,287,287,354,337
test5.jpg,karies,0.10192229,245,53,289,118
test6.jpg,karies,0.18067874,736,445,799,504
test6.jpg,karies,0.17246349,727,465,796,527
test6.jpg,karies,0.10862283,741,461,828,524
test7.jpg,karies,0.41002914,482,228,526,274
test7.jpg,karies,0.37631097,721,87,765,121
test7.jpg,karies,0.13932477,183,167,215,207
test7.jpg,karies,0.12271093,746,65,790,102
test7.jpg,karies,0.117001176,649,177,699,213
test7.jpg,karies,0.10813327,176,122,217,170
test8.jpg,karies,0.20497184,212,190,240,230
test8.jpg,karies,0.20341164,208,205,241,240
test8.jpg,karies,0.1545653,371,211,418,240
test8.jpg,karies,0.12053774,146,193,176,223
test9.jpg,karies,0.40409142,157,187,206,221
test9.jpg,karies,0.12404011,70,183,129,217
test9.jpg,karies,0.121974826,390,275,447,319
test9.jpg,karies,0.12175903,441,407,481,438
